BHID,XCOLLAR,YCOLLAR,ZCOLLAR,DEPTH,COMMENTS,LONGITUDE,LATITUDE
MHCM01,352724,2247608,217.13,128,GSI,79.58930714,20.32076925
MHCM02,352713,2247407,222.6,105.05,GSI,79.58921826,20.31895265
MHCM03,352658,2247516,217.346,180.05,GSI,79.58868264,20.31993306
MHCM04,352624,2247318,213.59,177,GSI,79.58837327,20.31814178
MHCM05,352599.849,2247119,213.76,179.5,GSI,79.5881583,20.31634223
MHCM06,352694,2248376,219.937,204,GSI,79.58895693,20.32770474
MHCM07,352697,2248576,220.283,190,GSI,79.58896927,20.32951169
MHCM08,352701,2248175,218.61,197,GSI,79.58904043,20.32588953
MHCM09,352681,2247953,218.432,198.3,GSI,79.58886709,20.32388252
MHCM10,352680,2247714,215.509,188,GSI,79.5888771,20.32172342
MHCM11,352681.918,2248777.166,221.505,204,GSI,79.58880834,20.33132778
MHCM12,352691.161,2248976.035,220.9,180,GSI,79.58888056,20.333125
MHCM13,352626.369,2249369.261,219.779,180,GSI,79.58822778,20.33667223
MHCM14,352671.115,2249175.463,219.557,180,GSI,79.58867222,20.334925
MHCM15,352634.573,2248376.142,218.336,300,GSI,79.58838779,20.32770143
MHCM16,352622.761,2248778.595,219.334,300,GSI,79.58824167,20.33133611
MNJ001,352645,2248382,218,437.3,HIL,79.58848717,20.32775516
MNJ002,352623.5,2247930,216.4,300,HIL,79.58831832,20.32367031
MNJ003,352553,2247936,215.5,400,HIL,79.58764268,20.32371906
MNJ004,352557,2248356,216,459,HIL,79.58764654,20.32751348
MNJ005,352609.3,2247603,216.44,276.4,HIL,79.58820914,20.32071522
MNJ006,352538.1,2247431,214.692,326.3,HIL,79.5875414,20.31915594
MNJ007,352554.8,2247519,215.05,303,HIL,79.58769411,20.31995218
MNJ008,352543.8,2247333,213.84,300,HIL,79.58760402,20.31827108
MNJ009,352459.7,2247466,213.012,405,HIL,79.58678775,20.31946605
MNJ010,352547.5,2247229,213.186,294.3,HIL,79.58764798,20.31733188
MNJ011,352492.1,2247125,211.66,228.3,HIL,79.58712599,20.3163881
MNJ012,352569.4,2248476,219.431,78.8,HIL,79.58775545,20.32859847
