BHID,from_m,to_m,thickness_m,avg_Cu_pct,cutoff_Cu_pct
MHCM06,187.9,192.8,4.9,1.2,0.8
MNJ01,238.8,242.8,4.0,0.8221250000000001,0.8
MNJ01,258.3,266.3,8.0,0.8047625000000198,0.8
MNJ01,292.8,293.8,1.0,1.0515000000000008,0.8
MNJ02,230.4,238.4,8.0,0.801,0.8
MNJ03,307.4,309.4,2.0,0.9009999999999996,0.8
MNJ04,100.0,104.5,4.5,0.8333333333333334,0.8
MNJ04,350.0,352.3,2.3000000000000114,0.8309130434782557,0.8
MNJ04,388.3,398.3,10.0,0.80135,0.8
MNJ05,220.9,222.4,1.5,0.8306000000000004,0.8
MNJ06,237.8,238.8,1.0,0.851,0.8
MNJ08,195.3,196.3,1.0,0.8870000000000005,0.8
MNJ08,197.8,199.3,1.5,0.8006666666666664,0.8
MNJ08,228.3,234.8,6.5,0.8216923076923082,0.8
MNJ09,316.3,322.3,6.0,0.81625,0.8
MNJ10,166.3,173.8,7.5,0.8075333333333333,0.8
MNJ11,233.8,234.8,1.0,0.8839999999999995,0.8
MNJ11,259.8,261.3,1.5,0.8116666666666674,0.8
MNJ11,262.8,264.3,1.5,0.9167333333333639,0.8
MNJ12,258.3,264.7,6.400000000000006,0.8051562499999992,0.8
MNJ12,370.3,372.8,2.5,0.8019999999999996,0.8
MNJ16,409.8,410.8,1.0,0.8490000000000002,0.8
MNJ16,456.3,458.3,2.0,0.8200000000000003,0.8
MNJ17,136.8,137.8,1.0,0.9048499999999999,0.8
